image_id,shape_id,shape_name,a,b,shape_center_x,shape_center_y,alpha,shape_color,image_binary_code,shape_color_word
00000,0,Ellipse,4,4,6,6,30,"(255, 0, 0)",00000000000000,blue
00001,0,Ellipse,4,4,6,6,30,"(255, 0, 0)",10000000000000,blue
00002,0,Parallelogram,4,4,6,6,30,"(255, 0, 0)",01000000000000,blue
00003,0,Parallelogram,4,4,6,6,30,"(255, 0, 0)",11000000000000,blue
00004,0,Ellipse,4,4,22,6,30,"(255, 0, 0)",00100000000000,blue
00005,0,Ellipse,4,4,22,6,30,"(255, 0, 0)",10100000000000,blue
00006,0,Parallelogram,4,4,22,6,30,"(255, 0, 0)",01100000000000,blue
00007,0,Parallelogram,4,4,22,6,30,"(255, 0, 0)",11100000000000,blue
00008,0,Ellipse,4,4,38,6,30,"(255, 0, 0)",00010000000000,blue
00009,0,Ellipse,4,4,38,6,30,"(255, 0, 0)",10010000000000,blue
00010,0,Parallelogram,4,4,38,6,30,"(255, 0, 0)",01010000000000,blue
00011,0,Parallelogram,4,4,38,6,30,"(255, 0, 0)",11010000000000,blue
00012,0,Ellipse,4,4,54,6,30,"(255, 0, 0)",00110000000000,blue
00013,0,Ellipse,4,4,54,6,30,"(255, 0, 0)",10110000000000,blue
00014,0,Parallelogram,4,4,54,6,30,"(255, 0, 0)",01110000000000,blue
00015,0,Parallelogram,4,4,54,6,30,"(255, 0, 0)",11110000000000,blue
00016,0,Ellipse,4,4,6,22,30,"(255, 0, 0)",00001000000000,blue
00017,0,Ellipse,4,4,6,22,30,"(255, 0, 0)",10001000000000,blue
00018,0,Parallelogram,4,4,6,22,30,"(255, 0, 0)",01001000000000,blue
00019,0,Parallelogram,4,4,6,22,30,"(255, 0, 0)",11001000000000,blue
00020,0,Ellipse,4,4,22,22,30,"(255, 0, 0)",00101000000000,blue
00021,0,Ellipse,4,4,22,22,30,"(255, 0, 0)",10101000000000,blue
00022,0,Parallelogram,4,4,22,22,30,"(255, 0, 0)",01101000000000,blue
00023,0,Parallelogram,4,4,22,22,30,"(255, 0, 0)",11101000000000,blue
00024,0,Ellipse,4,4,38,22,30,"(255, 0, 0)",00011000000000,blue
00025,0,Ellipse,4,4,38,22,30,"(255, 0, 0)",10011000000000,blue
00026,0,Parallelogram,4,4,38,22,30,"(255, 0, 0)",01011000000000,blue
00027,0,Parallelogram,4,4,38,22,30,"(255, 0, 0)",11011000000000,blue
00028,0,Ellipse,4,4,54,22,30,"(255, 0, 0)",00111000000000,blue
00029,0,Ellipse,4,4,54,22,30,"(255, 0, 0)",10111000000000,blue
00030,0,Parallelogram,4,4,54,22,30,"(255, 0, 0)",01111000000000,blue
00031,0,Parallelogram,4,4,54,22,30,"(255, 0, 0)",11111000000000,blue
00032,0,Ellipse,4,4,6,38,30,"(255, 0, 0)",00000100000000,blue
00033,0,Ellipse,4,4,6,38,30,"(255, 0, 0)",10000100000000,blue
00034,0,Parallelogram,4,4,6,38,30,"(255, 0, 0)",01000100000000,blue
00035,0,Parallelogram,4,4,6,38,30,"(255, 0, 0)",11000100000000,blue
00036,0,Ellipse,4,4,22,38,30,"(255, 0, 0)",00100100000000,blue
00037,0,Ellipse,4,4,22,38,30,"(255, 0, 0)",10100100000000,blue
00038,0,Parallelogram,4,4,22,38,30,"(255, 0, 0)",01100100000000,blue
00039,0,Parallelogram,4,4,22,38,30,"(255, 0, 0)",11100100000000,blue
00040,0,Ellipse,4,4,38,38,30,"(255, 0, 0)",00010100000000,blue
00041,0,Ellipse,4,4,38,38,30,"(255, 0, 0)",10010100000000,blue
00042,0,Parallelogram,4,4,38,38,30,"(255, 0, 0)",01010100000000,blue
00043,0,Parallelogram,4,4,38,38,30,"(255, 0, 0)",11010100000000,blue
00044,0,Ellipse,4,4,54,38,30,"(255, 0, 0)",00110100000000,blue
00045,0,Ellipse,4,4,54,38,30,"(255, 0, 0)",10110100000000,blue
00046,0,Parallelogram,4,4,54,38,30,"(255, 0, 0)",01110100000000,blue
00047,0,Parallelogram,4,4,54,38,30,"(255, 0, 0)",11110100000000,blue
00048,0,Ellipse,4,4,6,54,30,"(255, 0, 0)",00001100000000,blue
00049,0,Ellipse,4,4,6,54,30,"(255, 0, 0)",10001100000000,blue
00050,0,Parallelogram,4,4,6,54,30,"(255, 0, 0)",01001100000000,blue
00051,0,Parallelogram,4,4,6,54,30,"(255, 0, 0)",11001100000000,blue
00052,0,Ellipse,4,4,22,54,30,"(255, 0, 0)",00101100000000,blue
00053,0,Ellipse,4,4,22,54,30,"(255, 0, 0)",10101100000000,blue
00054,0,Parallelogram,4,4,22,54,30,"(255, 0, 0)",01101100000000,blue
00055,0,Parallelogram,4,4,22,54,30,"(255, 0, 0)",11101100000000,blue
00056,0,Ellipse,4,4,38,54,30,"(255, 0, 0)",00011100000000,blue
00057,0,Ellipse,4,4,38,54,30,"(255, 0, 0)",10011100000000,blue
00058,0,Parallelogram,4,4,38,54,30,"(255, 0, 0)",01011100000000,blue
00059,0,Parallelogram,4,4,38,54,30,"(255, 0, 0)",11011100000000,blue
